BLOCK.POS,Sample.ID,Family.Unique,Family.NonUnique,Replicate,HabitatType,Region,Population,Collector,Collection.Date,Block.ID,Position,Letter.Pos,No.Position,Bench,Planting.Date,Survival.Y.N,Germination.Y.N,Germination.Date,No.Days.to.Germ,True.Leaf,No.Days.to.TrueLeaf,Germ.to.TrueLeaf,Flower.Y.N.2016,Fruit.Y.N.2016,DTFF.2016,no.Planting.to.DTFF,No.Days.Germ.to.Flr,No.Days.TL.to.Flr,No.Flowers.2016,No.Fruit.2016,Seedmass.2016,sm,Flower.Y.N.2017,Fruit.Y.N.2017,Flowering.4.2.17.Y.N,DTFF.2017,DTFF.Ordinal.Day.2017,norm.flower.date.2017,Date.to.Bolt.2017,DtB.O.Day.2017,norm.bolt.date.2017,Date.to.Fruit.2017,Fruit.O.Day.2017,norm.fruit.date.2017,Seedmass.2017,sm2017,sm.2,Survival.Y.N.2017,No.Fruit.2017,Total.N.R.2017,Total.Flowers.2017,Flowering.Y.N.2018,Fruit.Y.N.2018,DTFF.2018,DTFF.18.Oday,DtB.2018,DtB.Oday.2018,Date.to.Fruit.2018,Date.to.Fruit.Oday.2018,Non.reproductive.flowers,seedmass.2018.g.,No.Fruit.2018,Total.Flowers.2018,Survival.Y.N.2018,Latitude,Longitude,Elevation.m,n.fruit.envelopes,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1-A5,AB-RL.10.1,AB-RL_10,10,1,Prairie,Prairie,AB-RL,Chad_Stratilo,6/21/2015,1,A5,A,5,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.665278,-110.1075,721,20,4.6,18.7,-10.1,28.8,348,216,41.8,86.2,1060,1689,4987,118,159,144,250,105,83,-42.2,38.5,707,445,12.8,51
1-A6,AB-HSC.4.1,AB-HSC_4,4,1,Prairie,Prairie,AB-HSC,Chad_Stratilo,6/21/2015,1,A6,A,6,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.636389,-110.33,721,20,4,17.1,-9,26.2,382,240,36.6,71.3,1013,1463,5136,289,155,148,249,100,90,-41.5,37.1,668,374,11.6,53
1-A7,ND-BSP.7.1,ND-BSP_7,7,1,Prairie,Prairie,ND-BSP,Tyler_Steve,6/12/2015,1,A7,A,7,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.85845,-96.47169,274,37,4.9,21.7,-14.4,36.1,546,369,27.3,58.8,1379,2123,5032,289,161,135,268,133,76,-40.9,40.8,725,266,12.6,57
1-A8,AB-RL.7.1,AB-RL_7,7,1,Prairie,Prairie,AB-RL,Chad_Stratilo,6/21/2015,1,A8,A,8,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.665278,-110.1075,721,20,4.6,18.7,-10.1,28.8,348,216,41.8,86.2,1060,1689,4987,118,159,144,250,105,83,-42.2,38.5,707,445,12.8,51
1-B10,ND-BSP.33.1,ND-BSP_33,33,1,Prairie,Prairie,ND-BSP,Tyler_Steve,6/12/2015,1,B10,B,10,1,11/7/2015,1,1,11/20/2015,13,11/26/2015,19,6,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/18/2017,138,48,0.63,630,630,1,13,8,21,1,1,4/19/2018,109,5/7/2018,127,5/20/2018,140,1,0.648,7,8,1,46.85845,-96.47169,274,37,4.9,21.7,-14.4,36.1,546,369,27.3,58.8,1379,2123,5032,289,161,135,268,133,76,-40.9,40.8,725,266,12.6,57
1-B11,AB-LL.22.1,AB-LL_22,22,1,Prairie,Prairie,AB-LL,Mary_Vetter,7/1/2015,1,B11,B,11,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.543611,-114.247222,929,40,4.2,15.6,-8.3,23.9,498,271,28.5,57.7,855,1334,5043,36,159,149,251,102,141,-40,34.9,626,283,13.4,55
1-B12,AB-RO.13.1,AB-RO_13,13,1,Prairie,Prairie,AB-RO,Chad_Stratilo,6/21/2015,1,B12,B,12,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.671944,-110.147222,721,20,4.7,18.6,-9.7,28.4,366,227,40,81.9,1037,1698,4949,117,162,142,250,108,84,-41.5,38.4,705,427,12.5,52
1-B13,NAP-CE.23.1,NAP-CE_23,23,1,Alvar,GL_alvar,NAP-CE,Jill_Hamilton,7/6/2015,1,B13,B,13,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.33003,-76.78968,166,40,6.7,20.5,-8.2,28.6,870,366,19.2,55.9,773,2090,4307,223,180,133,278,145,211,-34,36.5,681,197,12.6,66
1-B14,CAR-NBA.12.1,CAR-NBA_12,12,1,Alvar,GL_alvar,CAR-NBA,Jill_Hamilton,7/7/2015,1,B14,B,14,1,11/7/2015,1,1,11/18/2015,11,11/25/2015,18,7,1,1,6/2/2016,208,197,190,26,1,0.006,6,1,1,1,4/2/2017,91,1,4/23/2017,113,23,5/20/2017,140,50,2.001,2001,2007,1,18,7,25,1,1,4/19/2018,109,5/7/2018,127,5/17/2018,137,1,2.0111,18,19,1,44.68502,-79.05154,268,21,5.7,19.2,-9.1,28.2,911,398,17.2,48.2,904,1887,4611,149,167,139,273,134,258,-35.5,35.6,689,175,13.5,63
1-B15,MAN-MIS.18.1,MAN-MIS_18,18,1,Alvar,GL_alvar,MAN-MIS,Jill_Hamilton,7/8/2015,1,B15,B,15,1,11/7/2015,1,1,11/18/2015,11,11/26/2015,19,8,1,0,8/11/2016,278,267,259,4,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/29/2017,149,59,0.867,867,867,1,12,6,18,1,1,4/12/2018,102,5/3/2018,123,5/18/2018,138,5,0.6908,9,14,1,45.80825,-82.75912,193,40,5.2,18.8,-9.2,28,822,369,18.5,50.9,929,1758,4760,122,173,139,276,136,226,-34.8,34.6,613,164,12.9,66
1-B16,NAP-SCH.17.1,NAP-SCH_17,17,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,B16,B,16,1,11/7/2015,1,1,11/18/2015,11,11/24/2015,17,6,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,0.36,360,360,1,5,1,6,1,1,4/30/2018,120,5/10/2018,130,5/19/2018,139,0,0.2917,2,2,1,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-B2,MAN-LCI.2.1,MAN-LCI_2,2,1,Alvar,GL_alvar,MAN-LCI,Jill_Hamilton,7/9/2015,1,B2,B,2,1,11/7/2015,1,1,11/16/2015,9,11/24/2015,17,8,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,1.059,1059,1059,1,9,2,11,1,0,4/23/2018,113,5/7/2018,127,NA,NA,1,NA,NA,1,1,45.99426,-81.89436,182,24,4.6,18.2,-10.3,28.4,835,369,17.5,49.1,1026,1674,4941,98,166,143,273,130,254,-36.4,34.5,618,168,12.8,64
1-B3,MI-DRI.37.1,MI-DRI_37,37,1,Alvar,GL_alvar,MI-DRI,Jill_Hamilton,7/10/2015,1,B3,B,3,1,11/7/2015,1,1,11/17/2015,10,11/26/2015,19,9,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,1,0,4/2/2017,91,1,5/7/2017,127,37,5/20/2017,140,50,2.107,2107,2107,1,11,0,11,1,0,4/30/2018,120,5/7/2018,127,NA,NA,2,NA,NA,2,1,46.08578,-83.69201,188,40,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65
1-B4,MB-MR.2.1,MB-MR_2,2,1,Prairie,MB_alvar,MB-MR,Rebekah_Neufeld,7/2/2015,1,B4,B,4,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.184289,-97.626839,231,40,0.2,17.6,-20.9,38.4,521,321,19.6,54.7,2183,1388,6506,65,129,155,251,97,156,-46.5,37.4,609,228,12.5,53
1-B5,CAR-PSR.23.1,CAR-PSR_23,23,1,Alvar,GL_alvar,CAR-PSR,Jill_Hamilton,7/7/2015,1,B5,B,5,1,11/7/2015,1,1,11/20/2015,13,11/26/2015,19,6,1,1,6/18/2016,224,211,205,4,3,0.043,43,1,1,0,4/16/2017,106,16,5/10/2017,130,40,5/26/2017,146,56,0.308,308,351,1,2,1,3,1,1,4/19/2018,109,5/7/2018,127,5/18/2018,138,1,0.3098,2,3,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
1-B6,WNY-CB.5.1,WNY-CB_5,5,1,Alvar,GL_alvar,WNY-CB,Jill_Hamilton,7/5/2015,1,B6,B,6,1,11/7/2015,1,1,11/15/2015,8,11/22/2015,15,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/15/2017,135,45,0.028,28,28,1,1,3,4,1,1,4/12/2018,102,5/3/2018,123,5/20/2018,140,5,0.1205,3,8,1,44.097639,-76.082861,93,40,7.1,20.5,-7.7,28.2,892,385,19.1,53.3,717,2144,4180,231,177,135,277,142,187,-34.1,37,721,208,12.2,62
1-B7,MAN-LCI.3.1,MAN-LCI_3,3,1,Alvar,GL_alvar,MAN-LCI,Jill_Hamilton,7/9/2015,1,B7,B,7,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.99426,-81.89436,182,24,4.6,18.2,-10.3,28.4,835,369,17.5,49.1,1026,1674,4941,98,166,143,273,130,254,-36.4,34.5,618,168,12.8,64
1-B8,MB-CRN.34.1,MB-CRN_34,34,1,Prairie,MB_alvar,MB-CRN,Rebekah_Neufeld,7/2/2015,1,B8,B,8,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,1,4/2/2017,91,1,4/16/2017,106,16,NA,NA,NA,0,0,0,1,NA,4,4,1,0,4/26/2018,116,NA,NA,NA,NA,1,NA,NA,1,1,51.070942,-97.461336,231,40,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52
1-C10,NAP-CE.19.1,NAP-CE_19,19,1,Alvar,GL_alvar,NAP-CE,Jill_Hamilton,7/6/2015,1,C10,C,10,1,11/7/2015,1,1,11/16/2015,9,11/25/2015,18,9,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,4/9/2017,99,9,4/19/2017,109,19,5/26/2017,146,56,0.013,13,13,1,2,1,3,1,0,4/23/2018,113,5/10/2018,130,NA,NA,1,NA,NA,1,1,44.33003,-76.78968,166,40,6.7,20.5,-8.2,28.6,870,366,19.2,55.9,773,2090,4307,223,180,133,278,145,211,-34,36.5,681,197,12.6,66
1-C11,NAP-SCH.14.1,NAP-SCH_14,14,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,C11,C,11,1,11/7/2015,1,1,11/16/2015,9,11/25/2015,18,9,1,0,7/7/2016,243,234,225,24,0,0,0,1,1,0,4/5/2017,95,5,4/16/2017,106,16,5/15/2017,135,45,0.367,367,367,1,6,9,15,1,1,4/16/2018,106,4/30/2018,120,5/19/2018,139,1,1.4196,14,15,1,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-C12,MB-CRN.32.1,MB-CRN_32,32,1,Prairie,MB_alvar,MB-CRN,Rebekah_Neufeld,7/2/2015,1,C12,C,12,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.070942,-97.461336,231,40,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52
1-C13,MB-CRN.29.1,MB-CRN_29,29,1,Prairie,MB_alvar,MB-CRN,Rebekah_Neufeld,7/2/2015,1,C13,C,13,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.070942,-97.461336,231,40,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52
1-C14,MI-DRI.28.1,MI-DRI_28,28,1,Alvar,GL_alvar,MI-DRI,Jill_Hamilton,7/10/2015,1,C14,C,14,1,11/7/2015,1,1,11/16/2015,9,11/28/2015,21,12,1,0,7/28/2016,264,255,243,2,0,0,0,1,0,0,4/5/2017,95,5,4/23/2017,113,23,NA,NA,NA,0.731,731,731,1,4,0,4,1,0,4/26/2018,116,NA,NA,NA,NA,1,NA,NA,1,1,46.08578,-83.69201,188,40,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65
1-C15,MI-DRI.2.1,MI-DRI_2,2,1,Alvar,GL_alvar,MI-DRI,Jill_Hamilton,7/10/2015,1,C15,C,15,1,11/7/2015,1,1,11/18/2015,11,11/23/2015,16,5,1,1,8/18/2016,285,274,269,3,1,0,0,1,0,0,4/5/2017,95,5,4/19/2017,109,19,NA,NA,NA,2.045,2045,2045,1,17,2,19,1,1,4/23/2018,113,5/7/2018,127,5/19/2018,139,7,0.7889,10,17,1,46.08578,-83.69201,188,40,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65
1-C16,AB-RL.2.1,AB-RL_2,2,1,Prairie,Prairie,AB-RL,Chad_Stratilo,6/21/2015,1,C16,C,16,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.665278,-110.1075,721,20,4.6,18.7,-10.1,28.8,348,216,41.8,86.2,1060,1689,4987,118,159,144,250,105,83,-42.2,38.5,707,445,12.8,51
1-C2,NAP-SCH.20.1,NAP-SCH_20,20,1,Alvar,GL_alvar,NAP-SCH,Jill_Hamilton,7/6/2015,1,C2,C,2,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944,944,944,NA,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.34399,-76.89338,154,29,6.7,20.5,-8.2,28.7,869,366,19.2,56,780,2088,4319,223,179,133,278,145,213,-34,36.5,680,196,12.5,66
1-C3,NAP-CE.6.1,NAP-CE_6,6,1,Alvar,GL_alvar,NAP-CE,Jill_Hamilton,7/6/2015,1,C3,C,3,1,11/7/2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.33003,-76.78968,166,40,6.7,20.5,-8.2,28.6,870,366,19.2,55.9,773,2090,4307,223,180,133,278,145,211,-34,36.5,681,197,12.6,66
1-C4,MAN-MIS.27.1,MAN-MIS_27,27,1,Alvar,GL_alvar,MAN-MIS,Jill_Hamilton,7/8/2015,1,C4,C,4,1,11/7/2015,1,1,11/19/2015,12,11/26/2015,19,7,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,4/23/2017,113,23,5/25/2017,145,55,1.24,1240,1240,1,13,9,22,1,1,4/30/2018,120,5/14/2018,134,5/25/2018,145,1,0.6661,8,9,1,45.80825,-82.75912,193,40,5.2,18.8,-9.2,28,822,369,18.5,50.9,929,1758,4760,122,173,139,276,136,226,-34.8,34.6,613,164,12.9,66
1-C5,CAR-PSR.10.1,CAR-PSR_10,10,1,Alvar,GL_alvar,CAR-PSR,Jill_Hamilton,7/7/2015,1,C5,C,5,1,11/7/2015,1,1,11/15/2015,8,11/22/2015,15,7,1,0,7/13/2016,249,241,234,3,0,0,0,1,1,1,4/2/2017,91,1,4/16/2017,106,16,5/20/2017,140,50,1.448,1448,1448,1,16,7,23,1,1,4/19/2018,109,5/7/2018,127,5/18/2018,138,3,0.8293,11,14,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
1-C6,MAN-MIS.32.1,MAN-MIS_32,32,1,Alvar,GL_alvar,MAN-MIS,Jill_Hamilton,7/8/2015,1,C6,C,6,1,11/7/2015,1,1,11/19/2015,12,11/29/2015,22,10,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,4/2/2017,91,1,5/3/2017,123,33,5/18/2017,138,48,0.767,767,767,1,5,1,6,1,1,4/19/2018,109,4/30/2018,120,5/17/2018,137,0,0.9813,5,5,1,45.80825,-82.75912,193,40,5.2,18.8,-9.2,28,822,369,18.5,50.9,929,1758,4760,122,173,139,276,136,226,-34.8,34.6,613,164,12.9,66
